date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrollment,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,year,month,bio_age_17_plus,child_to_adult_ratio,total_updates,anomaly,total_population,biometric_per_enrollment
2025-11-09,Assam,Karbi Anglong,782441,0,2,0,2,7,46,13,6,2025,11,6,1.8571428571428568,19,False,53,9.5
2025-11-09,Assam,Karimganj,788726,2,0,0,2,0,4,5,1,2025,11,1,2.5,6,False,4,3.0
2025-11-09,Assam,Nagaon,782124,4,1,0,5,27,126,75,69,2025,11,69,1.0714285714285714,144,False,153,28.8
2025-11-09,Assam,Nalbari,781304,2,0,0,2,0,3,2,1,2025,11,1,1.0,3,False,3,1.5
2025-11-09,Assam,Sonitpur,784110,5,0,0,5,7,39,5,3,2025,11,3,1.25,8,False,46,1.6
2025-11-09,Assam,Sonitpur,784150,2,0,0,2,1,5,2,1,2025,11,1,1.0,3,False,6,1.5
2025-11-09,Assam,Udalguri,784522,3,0,0,3,0,6,3,3,2025,11,3,0.75,6,False,6,2.0
2025-11-09,Bihar,Arwal,804402,1,2,0,3,2,49,8,13,2025,11,13,0.5714285714285714,21,False,51,7.0
2025-11-09,Bihar,Arwal,824127,1,3,0,4,4,19,9,7,2025,11,7,1.125,16,False,23,4.0
2025-11-09,Bihar,Aurangabad,824102,2,5,0,7,8,69,10,22,2025,11,22,0.4347826086956521,32,False,77,4.571428571428571
2025-11-09,Bihar,Begusarai,851111,8,2,0,10,10,109,13,15,2025,11,15,0.8125,28,False,119,2.8
2025-11-09,Bihar,Bhagalpur,813206,1,0,0,1,1,11,1,2,2025,11,2,0.3333333333333333,3,False,12,3.0
2025-11-09,Bihar,Bhagalpur,813210,7,6,0,13,7,114,16,24,2025,11,24,0.64,40,False,121,3.076923076923077
2025-11-09,Bihar,Darbhanga,847105,4,0,0,4,2,59,12,9,2025,11,9,1.2,21,False,61,5.25
2025-11-09,Bihar,Darbhanga,847423,1,1,0,2,3,35,13,12,2025,11,12,1.0,25,False,38,12.5
2025-11-09,Bihar,Gaya,823001,5,7,0,12,12,146,27,18,2025,11,18,1.4210526315789471,45,False,158,3.75
2025-11-09,Bihar,Gaya,824231,3,4,0,7,7,98,17,18,2025,11,18,0.8947368421052632,35,False,105,5.0
2025-11-09,Bihar,Katihar,854103,3,1,0,4,4,114,14,40,2025,11,40,0.3414634146341463,54,False,118,13.5
2025-11-09,Bihar,Madhepura,852116,2,1,0,3,2,36,18,16,2025,11,16,1.0588235294117647,34,False,38,11.333333333333334
2025-11-09,Bihar,Madhubani,847240,2,1,0,3,0,47,3,5,2025,11,5,0.5,8,False,47,2.6666666666666665
2025-11-09,Bihar,Madhubani,847410,1,3,0,4,1,13,2,4,2025,11,4,0.4,6,False,14,1.5
2025-11-09,Bihar,Munger,811213,2,1,0,3,6,143,5,21,2025,11,21,0.2272727272727272,26,False,149,8.666666666666666
2025-11-09,Bihar,Muzaffarpur,843101,3,1,0,4,5,34,4,10,2025,11,10,0.3636363636363636,14,False,39,3.5
2025-11-09,Bihar,Rohtas,821107,3,4,0,7,11,83,16,13,2025,11,13,1.1428571428571428,29,False,94,4.142857142857143
2025-11-09,Bihar,Samastipur,848237,0,1,0,1,0,2,1,1,2025,11,1,0.5,2,False,2,2.0
2025-11-09,Bihar,Saran,841218,2,0,0,2,1,12,1,0,2025,11,0,1.0,1,False,13,0.5
2025-11-09,Bihar,Saran,841224,2,0,0,2,0,5,4,1,2025,11,1,2.0,5,False,5,2.5
2025-11-09,Bihar,Supaul,852218,0,5,0,5,5,74,17,17,2025,11,17,0.9444444444444444,34,False,79,6.8
2025-11-09,Bihar,Vaishali,844125,2,2,0,4,3,100,5,22,2025,11,22,0.217391304347826,27,False,103,6.75
2025-11-09,Chandigarh,Chandigarh,160022,1,0,0,1,1,6,4,2,2025,11,2,1.3333333333333333,6,False,7,6.0
2025-11-09,Chhattisgarh,Dhamtari,493663,6,0,0,6,3,65,10,68,2025,11,68,0.144927536231884,78,False,68,13.0
2025-11-09,Chhattisgarh,Surajpur,497226,3,0,0,3,7,29,22,18,2025,11,18,1.1578947368421053,40,False,36,13.333333333333334
2025-11-09,Delhi,South Delhi,110025,12,2,0,14,6,69,37,47,2025,11,47,0.7708333333333334,84,False,75,6.0
2025-11-09,Gujarat,Ahmedabad,380005,1,1,0,2,1,23,16,19,2025,11,19,0.8,35,False,24,17.5
2025-11-09,Gujarat,Amreli,365560,5,0,0,5,5,15,63,35,2025,11,35,1.75,98,False,20,19.6
2025-11-09,Gujarat,Amreli,365620,1,0,0,1,0,7,3,7,2025,11,7,0.375,10,False,7,10.0
2025-11-09,Gujarat,Amreli,365630,5,0,0,5,0,12,4,5,2025,11,5,0.6666666666666666,9,False,12,1.8
2025-11-09,Gujarat,Banaskantha,385565,7,5,0,12,1,16,13,16,2025,11,16,0.7647058823529411,29,False,17,2.4166666666666665
2025-11-09,Gujarat,Bhavnagar,364130,3,0,0,3,2,13,9,7,2025,11,7,1.125,16,False,15,5.333333333333333
2025-11-09,Gujarat,Bhavnagar,364510,4,0,0,4,2,9,8,3,2025,11,3,2.0,11,False,11,2.75
2025-11-09,Gujarat,Gandhinagar,382729,1,0,0,1,2,4,2,8,2025,11,8,0.2222222222222222,10,False,6,10.0
2025-11-09,Gujarat,Junagadh,362120,2,0,0,2,0,7,4,5,2025,11,5,0.6666666666666666,9,False,7,4.5
2025-11-09,Gujarat,Kachchh,370201,3,0,0,3,3,38,31,22,2025,11,22,1.3478260869565215,53,False,41,17.666666666666668
2025-11-09,Gujarat,Kachchh,370205,2,2,0,4,5,27,11,21,2025,11,21,0.5,32,False,32,8.0
2025-11-09,Gujarat,Kheda,387640,1,1,0,2,1,12,13,7,2025,11,7,1.625,20,False,13,10.0
2025-11-09,Gujarat,Mahesana,382165,3,1,0,4,2,15,7,8,2025,11,8,0.7777777777777778,15,False,17,3.75
2025-11-09,Gujarat,Mahesana,384002,5,2,0,7,5,16,21,15,2025,11,15,1.3125,36,False,21,5.142857142857143
2025-11-09,Gujarat,Mahesana,384310,1,0,0,1,0,10,6,5,2025,11,5,1.0,11,False,10,11.0
2025-11-09,Gujarat,Narmada,393145,5,1,0,6,6,22,9,18,2025,11,18,0.4736842105263157,27,False,28,4.5
2025-11-09,Gujarat,Navsari,396421,1,0,0,1,1,2,3,2,2025,11,2,1.0,5,False,3,5.0
2025-11-09,Gujarat,Navsari,396560,4,0,0,4,0,8,4,6,2025,11,6,0.5714285714285714,10,False,8,2.5
2025-11-09,Gujarat,Panchmahals,389310,1,0,0,1,0,5,1,1,2025,11,1,0.5,2,False,5,2.0
2025-11-09,Gujarat,Patan,384221,1,0,0,1,1,11,7,3,2025,11,3,1.75,10,False,12,10.0
2025-11-09,Gujarat,Porbandar,360575,10,0,0,10,2,57,18,17,2025,11,17,1.0,35,False,59,3.5
2025-11-09,Gujarat,Porbandar,360576,1,0,0,1,2,11,1,3,2025,11,3,0.25,4,False,13,4.0
2025-11-09,Gujarat,Rajkot,360050,2,1,0,3,2,14,10,12,2025,11,12,0.7692307692307693,22,False,16,7.333333333333333
2025-11-09,Gujarat,Rajkot,360055,1,0,0,1,0,12,7,5,2025,11,5,1.1666666666666667,12,False,12,12.0
2025-11-09,Gujarat,Sabarkantha,383230,3,0,0,3,1,6,1,4,2025,11,4,0.2,5,False,7,1.6666666666666667
2025-11-09,Gujarat,Sabarkantha,383440,2,0,0,2,0,4,2,5,2025,11,5,0.3333333333333333,7,False,4,3.5
2025-11-09,Gujarat,Surat,394163,1,0,0,1,2,4,3,4,2025,11,4,0.6,7,False,6,7.0
2025-11-09,Gujarat,Surat,394230,2,0,0,2,6,42,9,24,2025,11,24,0.36,33,False,48,16.5
2025-11-09,Gujarat,Surendra Nagar,363115,0,1,0,1,0,6,8,3,2025,11,3,2.0,11,False,6,11.0
2025-11-09,Gujarat,Surendra Nagar,382780,1,0,0,1,0,13,1,4,2025,11,4,0.2,5,False,13,5.0
2025-11-09,Gujarat,Tapi,394365,2,0,0,2,2,10,6,3,2025,11,3,1.5,9,False,12,4.5
2025-11-09,Gujarat,Vadodara,390022,0,1,0,1,2,19,11,13,2025,11,13,0.7857142857142857,24,False,21,24.0
2025-11-09,Gujarat,Vadodara,391244,2,0,0,2,0,1,1,4,2025,11,4,0.2,5,False,1,2.5
2025-11-09,Haryana,Faridabad,121007,2,0,0,2,1,10,2,4,2025,11,4,0.4,6,False,11,3.0
2025-11-09,Haryana,Fatehabad,125120,2,0,0,2,2,12,11,6,2025,11,6,1.5714285714285714,17,False,14,8.5
2025-11-09,Haryana,Gurgaon,122001,9,2,0,11,26,168,54,38,2025,11,38,1.3846153846153846,92,False,194,8.363636363636363
2025-11-09,Haryana,Jhajjar,124106,2,0,0,2,1,5,9,7,2025,11,7,1.125,16,False,6,8.0
2025-11-09,Haryana,Karnal,132040,3,0,0,3,3,3,8,20,2025,11,20,0.3809523809523809,28,False,6,9.333333333333334
2025-11-09,Haryana,Karnal,132041,9,0,0,9,1,10,9,27,2025,11,27,0.3214285714285714,36,False,11,4.0
2025-11-09,Haryana,Kurukshetra,136128,6,0,0,6,0,15,12,38,2025,11,38,0.3076923076923077,50,False,15,8.333333333333334
2025-11-09,Haryana,Kurukshetra,136129,5,0,0,5,2,2,6,6,2025,11,6,0.8571428571428571,12,False,4,2.4
2025-11-09,Haryana,Mahendragarh,123021,4,0,0,4,5,14,11,18,2025,11,18,0.5789473684210527,29,False,19,7.25
2025-11-09,Haryana,Mewat,122104,3,1,1,5,0,32,35,19,2025,11,19,1.75,54,False,32,10.8
2025-11-09,Himachal Pradesh,Chamba,176318,1,0,0,1,0,2,2,1,2025,11,1,1.0,3,False,2,3.0
2025-11-09,Himachal Pradesh,Hamirpur,177040,2,0,0,2,1,0,2,0,2025,11,0,2.0,2,False,1,1.0
2025-11-09,Himachal Pradesh,Hamirpur,177048,1,0,0,1,0,3,3,3,2025,11,3,0.75,6,False,3,6.0
2025-11-09,Himachal Pradesh,Kangra,176094,2,0,0,2,1,2,3,5,2025,11,5,0.5,8,False,3,4.0
2025-11-09,Himachal Pradesh,Kinnaur,172110,1,0,0,1,1,1,0,2,2025,11,2,0.0,2,False,2,2.0
2025-11-09,Himachal Pradesh,Sirmaur,173022,1,0,0,1,0,15,5,4,2025,11,4,1.0,9,False,15,9.0
2025-11-09,Himachal Pradesh,Solan,173205,1,0,0,1,0,8,4,5,2025,11,5,0.6666666666666666,9,False,8,9.0
2025-11-09,Jammu And Kashmir,Anantnag,192211,2,0,0,2,6,23,11,10,2025,11,10,1.0,21,False,29,10.5
2025-11-09,Jammu And Kashmir,Jammu,181101,0,2,0,2,1,15,7,8,2025,11,8,0.7777777777777778,15,False,16,7.5
2025-11-09,Jammu And Kashmir,Jammu,181221,5,1,0,6,1,3,1,7,2025,11,7,0.125,8,False,4,1.3333333333333333
2025-11-09,Jammu And Kashmir,Kupwara,193221,6,1,0,7,1,26,12,17,2025,11,17,0.6666666666666666,29,False,27,4.142857142857143
2025-11-09,Jammu And Kashmir,Kupwara,193222,8,0,0,8,8,45,34,22,2025,11,22,1.4782608695652173,56,False,53,7.0
2025-11-09,Jammu And Kashmir,Rajouri,185212,3,1,0,4,2,10,11,17,2025,11,17,0.6111111111111112,28,False,12,7.0
2025-11-09,Jammu And Kashmir,Srinagar,191121,1,0,0,1,0,7,0,5,2025,11,5,0.0,5,False,7,5.0
2025-11-09,Jharkhand,Bokaro,829127,1,0,0,1,0,4,1,4,2025,11,4,0.2,5,False,4,5.0
2025-11-09,Jharkhand,Deoghar,815353,20,10,0,30,11,83,53,54,2025,11,54,0.9636363636363636,107,False,94,3.566666666666667
2025-11-09,Jharkhand,Dhanbad,828101,1,1,0,2,0,9,6,6,2025,11,6,0.8571428571428571,12,False,9,6.0
2025-11-09,Jharkhand,Dhanbad,828111,3,3,0,6,1,39,12,36,2025,11,36,0.3243243243243243,48,False,40,8.0
2025-11-09,Jharkhand,Dhanbad,828121,1,1,0,2,1,22,3,5,2025,11,5,0.5,8,False,23,4.0
